artist,track_name,album_name,popularity,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Dub Pistols,Party's On,Crazy Diamonds,3,2017-10-06,198011,0.0294,0.87,0.877,1.23e-06,6,0.0869,-4.687,1,0.149,113.017,4,0.89
The Hempolics,Early In The Morning - Radio Edit,Early In The Morning,33,2017-08-25,240000,0.00979,0.652,0.597,0.000219,0,0.282,-5.628,1,0.0336,132.602,4,0.344
Nothing But Thieves,Trip Switch,Nothing But Thieves (Track by Track),51,2015-10-09,181146,0.0197,0.65,0.807,0.00611,10,0.094,-4.157,0,0.0698,88.475,4,0.77
The Kooks,Bad Habit,Listen (Deluxe),26,2014-09-08,221413,0.051,0.733,0.882,9.92e-06,0,0.131,-4.199,0,0.0389,123.071,4,0.854
Portugal. The Man,Dummy,Dummy,64,2023-03-01,145093,0.0139,0.747,0.649,0.00333,11,0.115,-5.807,0,0.0419,91.05,4,0.774
Cassia,Right There,Why You Lacking Energy?,51,2022-11-18,182936,0.383,0.895,0.49,5.69e-06,11,0.0661,-8.458,1,0.0451,115.07,4,0.781
Daily J,Skylah,Venus Ate Mars,55,2020-11-20,200632,0.0105,0.61,0.747,0.0,11,0.105,-6.248,0,0.0274,123.991,4,0.691
Lime Cordiale,Money,14 Steps To A Better You,58,2020-07-10,238180,0.163,0.646,0.585,0.293,4,0.406,-9.148,1,0.0336,110.058,4,0.412
49th & Main,Up To Something,Must Be Nice,54,2022-07-22,212346,0.00156,0.793,0.513,0.00974,10,0.0898,-5.72,0,0.0331,111.995,4,0.695
Kid Francescoli,Nopalitos,Nopalitos,60,2021-03-18,230089,0.0774,0.607,0.583,0.849,5,0.116,-8.928,0,0.0321,125.005,4,0.166
L'Impératrice,Voodoo? - Lazywax Remix,Voodoo? (Lazywax Remix),42,2020-11-13,386443,0.201,0.806,0.644,0.0205,6,0.0443,-8.527,0,0.0853,117.004,4,0.881
NEIL FRANCES,Show Me the Right,Show Me the Right,57,2017-11-17,204000,0.224,0.684,0.805,0.396,2,0.0794,-7.512,0,0.0656,90.04,4,0.691
LEISURE,Summer Season,Summer Season,53,2022-10-07,205293,0.648,0.696,0.641,0.0012,4,0.255,-6.17,0,0.0445,92.003,4,0.422
ODESZA,Hopeful,Hopeful,64,2023-02-21,248432,0.0854,0.34,0.823,0.668,4,0.141,-7.181,1,0.0455,119.972,4,0.0389
Michael Bruner,Don't Care,One for Trouble,20,2022-11-09,147839,0.0895,0.703,0.469,0.0,7,0.0601,-8.317,0,0.0762,90.008,4,0.379
Skeleten,Walking On Your Name,Walking On Your Name,35,2021-02-25,290649,0.528,0.802,0.778,0.598,5,0.111,-11.463,0,0.0449,105.021,4,0.889
Blue Hawaii,I Felt Love,Under 1 House,53,2020-09-25,192001,0.156,0.79,0.684,0.0829,6,0.0743,-7.748,0,0.0588,132.99,4,0.576
Flabaire,Sweet Spot,It's Just A Silly Phase I'm Going Through,35,2016-03-18,295592,0.0528,0.51,0.456,0.896,0,0.0494,-11.542,1,0.168,123.886,4,0.404
KASPERG,Deep Blue,Deep Blue,22,2022-11-25,168620,0.746,0.806,0.427,0.767,6,0.105,-13.703,0,0.0679,116.03,4,0.296
Ordnry Yngstr,Seek,Playground,29,2018-08-10,145855,0.43,0.762,0.092,0.668,6,0.107,-18.772,0,0.137,129.97,4,0.138
Jaydonclover,Secondsin,Secondsin,20,2021-02-19,192000,0.708,0.666,0.48,0.0514,0,0.127,-8.218,0,0.0864,140.029,4,0.199
Jamie Jones,Lose My Mind,Lose My Mind,48,2023-03-10,181935,0.00119,0.646,0.898,0.0406,10,0.189,-6.27,1,0.0358,124.002,4,0.62
Sofi Tukker,Drinkee - Vintage Culture & John Summit Remix,Drinkee (Vintage Culture & John Summit Remix),60,2021-07-23,205161,0.021,0.741,0.726,0.776,11,0.0776,-6.404,0,0.0462,124.009,4,0.37
John Summit,La Danza,La Danza,67,2022-03-11,157619,0.00298,0.797,0.88,0.574,6,0.183,-5.722,0,0.0442,125.996,4,0.357
Ini Kamoze,Wings With Me,Ini Kamoze,46,1984,297626,0.0151,0.776,0.619,1.24e-05,1,0.0366,-7.299,0,0.161,81.189,4,0.757
Eek-A-Mouse,She Feels It,She Feels It,34,2023-03-03,236474,0.347,0.839,0.43,0.0284,9,0.143,-8.557,0,0.0811,135.009,4,0.78
Youthstar,Don Dada,Don Dada,40,2023-03-03,225988,0.0844,0.881,0.842,0.0,8,0.0587,-5.471,0,0.0621,130.014,4,0.807
Evil Ebenezer,I'm The Man,I'm The Man,40,2023-03-03,192597,0.00542,0.585,0.753,2.41e-06,4,0.155,-6.321,0,0.128,170.015,4,0.884
grandson,Eulogy,Eulogy,62,2023-02-28,141654,0.135,0.539,0.787,3.74e-05,9,0.143,-6.03,1,0.364,80.449,4,0.692
Document One,More and More,More and More,37,2023-03-10,231724,0.00344,0.726,0.857,0.000145,11,0.112,-2.152,0,0.065,87.033,4,0.319
Sahida Apsara,Radiant Star,Up Your Vibration,25,2017-10-13,241591,0.031,0.793,0.602,7.32e-05,11,0.113,-9.201,0,0.0754,140.019,4,0.726
Chimpo,I Don't Care,I Don't Care,35,2022-01-28,299294,0.00118,0.491,0.59,0.227,9,0.0448,-6.442,0,0.0883,85.023,4,0.317
Spilif,Nazaré,Nazaré,32,2022-02-25,194897,0.339,0.769,0.601,0.0,1,0.13,-6.062,1,0.256,86.036,4,0.591
Jimmy Lindsay,Ain't No Sunshine - Live,Reggae in a Babylon,26,2005,263360,0.483,0.612,0.182,0.184,2,0.157,-22.115,1,0.124,137.913,4,0.644
Ahmed Ben Ali,Subhana,Subhana (Habibi Funk 012),41,2020-02-21,300500,0.0597,0.88,0.677,0.000759,3,0.0247,-6.195,1,0.0403,96.008,4,0.905
Famara,Mamah Fatuma,Double Culture,25,2006-07-25,303533,0.308,0.832,0.602,0.00387,6,0.0593,-5.896,0,0.0431,154.047,4,0.954
Jackie Mittoo,Outsnipe,Fire Selection,41,2017-06-16,247170,0.474,0.776,0.623,0.875,7,0.151,-8.611,1,0.0447,102.874,4,0.703
Collie Buddz,Twisted Agenda (with Bounty Killer),Twisted Agenda (with Bounty Killer),44,2022-01-28,160519,0.00288,0.729,0.667,0.0,2,0.0583,-4.774,1,0.234,77.456,4,0.738
Joe Hertz,I Don't Swear,Current Blues,48,2020-07-17,174960,0.51,0.751,0.568,0.00283,1,0.0901,-6.904,0,0.0871,94.978,4,0.467
Noya Rao,Talk,Owls,32,2019-04-26,299688,0.389,0.515,0.44,0.267,5,0.0784,-11.92,0,0.165,181.519,4,0.259
Alina Baraz,Fantasy,Urban Flora,56,2015-05-19,218947,0.353,0.68,0.747,0.0,4,0.138,-6.056,0,0.091,113.933,4,0.331
Warhaus,Time Bomb,Ha Ha Heartbreak,42,2022-11-11,294013,0.222,0.666,0.611,0.66,6,0.0793,-6.686,1,0.0332,140.038,4,0.469
Warhaus,It Had To Be You,Ha Ha Heartbreak,42,2022-11-11,183717,0.367,0.529,0.573,0.781,10,0.253,-7.062,1,0.0369,102.678,4,0.732
Warhaus,Love's a Stranger,Warhaus,53,2017-10-13,206685,0.202,0.564,0.585,0.00206,9,0.118,-8.823,0,0.0379,161.667,4,0.624
KSI,Not Over Yet (feat. Tom Grennan),Not Over Yet (feat. Tom Grennan) [Acoustic],60,2022-08-03,155691,0.542,0.501,0.775,0.0,9,0.394,-2.993,1,0.052,174.009,4,0.557
Else,Ambre,Ambre,48,2017-05-19,240625,0.221,0.492,0.806,0.67,8,0.225,-6.31,1,0.0427,96.065,4,0.143
Myd,The Sun,Born a Loser,62,2021-04-30,207373,0.752,0.773,0.586,0.762,5,0.0941,-7.623,0,0.0311,126.014,4,0.729
Tom Grennan,Little Bit of Love,Evering Road (Deluxe),66,2021-03-12,226268,0.0833,0.689,0.706,0.0,1,0.105,-4.48,0,0.0312,106.52,4,0.623
Lime Cordiale,Temper Temper,Permanent Vacation,62,2017-10-13,208980,0.0252,0.713,0.565,3.2e-06,7,0.633,-7.8,0,0.0351,130.047,4,0.705
Cassia,Drifting,Why You Lacking Energy?,45,2022-11-18,223680,0.216,0.732,0.617,3.09e-06,6,0.161,-7.234,0,0.038,101.156,4,0.445
Cassia,100 Times Over,100 Times Over,42,2017-09-25,162875,0.181,0.752,0.829,0.0,7,0.077,-4.593,1,0.0962,119.995,4,0.859
Florence + The Machine,Spectrum,Ceremonials (Original Deluxe Version),59,2011-01-01,311533,0.0685,0.574,0.879,0.000549,11,0.101,-5.571,0,0.05,123.086,4,0.122
Tom Grennan,Found What I've Been Looking For,Lighting Matches (Deluxe),58,2018-07-06,191933,0.0354,0.623,0.829,0.0,3,0.0762,-4.613,0,0.0286,107.067,4,0.779
YUNGBLUD,Tissues,YUNGBLUD,59,2022-09-02,215163,0.0109,0.607,0.901,0.0,4,0.105,-3.406,1,0.134,89.987,4,0.809
Lime Cordiale,Robbery,14 Steps To A Better You,60,2020-07-10,223233,0.306,0.685,0.748,0.105,3,0.183,-7.558,0,0.0959,152.949,4,0.879
DRS,Shush,Del-Rok-Ski,18,2022-10-28,206244,0.00304,0.756,0.69,0.000148,7,0.149,-2.782,1,0.243,169.979,4,0.621
Cold War Kids,What You Say (feat. Zella Day),What You Say (feat. Zella Day),34,2022-03-04,186098,0.0286,0.655,0.796,1.34e-06,7,0.281,-5.621,1,0.0603,116.913,4,0.458
COIN,Brad Pitt,Uncanny Valley,50,2022-03-25,216187,0.0149,0.781,0.726,1.88e-05,8,0.205,-5.794,1,0.0526,100.043,4,0.605
Still Woozy,Woof,"If This Isn’t Nice, I Don’t Know What Is",51,2021-08-13,156000,0.116,0.671,0.86,0.00139,10,0.15,-6.887,0,0.0383,97.037,4,0.79
Foals,2am,Life Is Yours,59,2022-06-17,224178,0.000335,0.698,0.794,0.605,0,0.0622,-3.333,1,0.0483,135.981,4,0.861
alt-J,Hard Drive Gold,The Dream,49,2022-02-11,158480,0.0858,0.67,0.853,2.1e-05,0,0.125,-5.962,1,0.0389,144.272,4,0.684
Foals,Wake Me Up,Life Is Yours,50,2022-06-17,263658,0.00407,0.651,0.949,0.00695,0,0.1,-3.385,1,0.0508,120.02,4,0.7
The Grogans,Washed Out,Washed Out / Ride,50,2018-11-09,210369,0.0225,0.663,0.564,0.000297,9,0.151,-6.308,0,0.0313,92.514,4,0.594
Celula de Criză,Zig Zag,Rimă și pedeapsă,14,2021-11-12,339583,0.27,0.702,0.632,0.0,1,0.591,-10.286,1,0.438,120.126,4,0.583
Macanache,Baseball Stradal,Baseball Stradal,29,2023-02-15,189333,0.137,0.719,0.891,0.0,11,0.175,-3.895,1,0.35,90.136,4,0.792
Macanache,Trei Chestii,Trei Chestii,32,2023-01-12,183829,0.0799,0.725,0.714,0.0,1,0.0509,-5.404,1,0.401,93.952,4,0.713
Caroline Polachek,Blood And Butter,Blood And Butter,55,2023-01-31,267500,0.233,0.5,0.694,0.00157,0,0.0562,-6.714,1,0.0417,180.075,4,0.396
slowthai,Feel Good,Feel Good,60,2023-02-07,124768,5.99e-05,0.588,0.898,6.04e-05,11,0.186,-6.362,0,0.0492,155.989,4,0.593
LEISURE,Miles Away,Sunsetter,54,2021-12-03,236213,0.536,0.808,0.486,0.522,4,0.0965,-9.31,0,0.0473,99.973,4,0.8
La Fine Equipe,Tiramisu fraise,La boulangerie (Back Burners),57,2018-06-20,139464,0.526,0.801,0.586,0.0138,5,0.146,-6.769,0,0.0319,83.656,4,0.886
sunflwr,kawamurra,kawamurra,48,2021-05-02,219523,0.161,0.98,0.53,0.0845,11,0.0887,-9.659,0,0.227,125.995,4,0.287
lavender,peppermint,all will be well,52,2022-02-17,135524,0.852,0.49,0.507,4.74e-06,4,0.0991,-8.076,1,0.167,104.483,4,0.495
((( O ))),Omw,((( 2 ))),48,2020-08-27,238493,0.578,0.799,0.497,0.365,0,0.119,-9.185,0,0.186,113.992,4,0.458
Galdive,Sway,Sway,37,2019-03-15,201818,0.12,0.548,0.737,0.16,0,0.604,-7.131,1,0.0726,110.003,4,0.375
Galdive,Crazy Driving,Canvas,36,2021-11-19,206526,0.585,0.751,0.594,0.000219,6,0.136,-5.295,0,0.327,94.932,4,0.543
Galdive,Puzzle,Canvas,37,2021-11-19,178636,0.383,0.773,0.579,0.0,4,0.201,-3.151,0,0.137,87.97,4,0.742
Galdive,Maybe I,Canvas,40,2021-11-19,195176,0.811,0.697,0.488,0.0286,3,0.106,-5.2,0,0.206,170.0,4,0.588
imagiro,River Day,Places I Remember,48,2020-04-22,150029,0.821,0.731,0.0958,0.912,8,0.106,-17.795,1,0.167,79.979,3,0.366
Galdive,Dormer,Window/Dormer,37,2023-02-10,114032,0.966,0.467,0.101,3.24e-05,9,0.389,-13.772,0,0.0342,74.459,3,0.109
Galdive,Window,Window/Dormer,42,2023-02-10,215835,0.78,0.591,0.315,0.00117,0,0.322,-8.676,1,0.16,120.665,4,0.351
Joe Hertz,Colourblind,Current Blues,48,2020-07-17,266120,0.0804,0.914,0.511,0.00321,11,0.172,-10.538,0,0.188,114.98,4,0.442
Knox Brown,The People,Searching,38,2016-08-05,220440,0.54,0.332,0.649,9.81e-05,10,0.102,-7.001,0,0.109,177.909,3,0.503
Ras Demo,Sekkle up the Score,Sekkle up the Score,30,2015,209693,0.546,0.682,0.699,0.0,3,0.0895,-5.809,0,0.228,166.116,4,0.933
Sizzla,Beautiful Day,Overstanding,30,2006-11-21,217973,0.14,0.733,0.695,0.0,4,0.136,-4.89,0,0.29,84.735,4,0.654
Barrington Levy,Black Roses,"Original Ragga Muffin, Pt. 1",56,2011-10-21,187611,0.0558,0.801,0.516,0.00861,1,0.126,-7.022,1,0.0814,84.793,4,0.877
Vibrações,Ela Partiu (Superstar),Ela Partiu (Superstar) - Single,46,2015-04-13,126033,0.54,0.725,0.466,0.0,9,0.29,-10.726,0,0.128,81.987,4,0.918
Shaggy,Bridges (feat. Chronixx),"Out Of Many, One Music",39,2013-09-24,220466,0.232,0.821,0.599,0.000689,5,0.0848,-4.616,0,0.0342,133.607,4,0.727
Yung L,Yaadman (Intro),Yaadman Kingsize,35,2021-01-29,110769,0.321,0.71,0.671,1.47e-05,11,0.124,-6.101,0,0.252,77.586,4,0.885
Booboo'zzz All Stars,Clint Eastwood,Studio Reggae Bash,29,2017-03-10,335666,0.0162,0.775,0.666,0.171,8,0.0753,-6.2,0,0.105,82.747,4,0.409
rekall,Ganja Love Remix,Unification,20,2021-02-04,206719,0.0608,0.789,0.642,0.0,10,0.208,-6.88,0,0.209,90.081,4,0.752
Yaadcore,Ghetto Youths,Reggaeland,32,2022-03-18,249593,0.111,0.614,0.713,0.0,4,0.0826,-4.923,0,0.278,66.507,4,0.651
I Wayne,Living In Love,Lava Ground,49,2006-08-01,213133,0.122,0.608,0.827,0.0,0,0.176,-4.848,0,0.242,78.524,4,0.964
Max Romeo,One Step Forward,Best Of,50,2009-03-29,219493,0.0329,0.842,0.755,4.98e-05,10,0.0936,-5.023,0,0.0426,141.06,4,0.977
Navy,Patra,Patra,32,2021-01-29,205714,0.6,0.554,0.436,1.18e-05,1,0.11,-8.853,0,0.139,82.651,4,0.76
Strangely Arousing,UFO,UFO,34,2021-01-29,155155,0.0249,0.855,0.545,0.0623,9,0.702,-10.112,0,0.0573,138.922,4,0.877
Queen Omega,Fittest,Fittest,32,2022-07-08,230000,0.0942,0.634,0.477,1.28e-05,11,0.127,-10.649,1,0.433,155.724,4,0.545
Cigarettes After Sex,Sunsetz,Cigarettes After Sex,76,2017-06-09,214680,0.0542,0.412,0.477,0.798,9,0.0975,-9.381,0,0.029,75.302,4,0.141
L'Entourloop,Madzilla,La clarté dans la confusion,37,2022-06-10,213603,0.0557,0.712,0.732,0.0,7,0.102,-7.358,1,0.195,95.086,4,0.551
Ziggy Marley & The Melody Makers,I Know You Don't Care About Me - Live,"Ziggy Marley and the Melody Makers Live, Vol. 1",30,2000-11-03,345666,0.0509,0.772,0.401,0.0,6,0.095,-15.521,0,0.271,96.78,4,0.813
Capleton,Prophet Rides Again,Prophet Rides Again (Inkalink Allstars),53,2011,202325,0.0256,0.773,0.633,0.0,6,0.243,-5.521,0,0.326,86.82,4,0.708
Chronixx,Roots & Chalice,Roots & Chalice,45,2016-09-30,252014,0.116,0.746,0.743,0.0,5,0.104,-7.039,1,0.131,82.986,4,0.841
Sly Dunbar,Inner City Blues,Sly-Go-Ville,41,1982,251826,0.158,0.72,0.478,0.0561,1,0.127,-9.909,1,0.11,87.392,4,0.59
Taggy Matcher,Gas at the Station,Singasong,34,2014-11-28,252027,0.105,0.886,0.825,0.00475,5,0.0939,-9.856,0,0.0389,103.023,4,0.952
Mikey Dread,Roots and Culture,Pave the Way,44,1983-01-01,368720,0.136,0.735,0.507,0.0176,6,0.373,-11.17,0,0.0842,144.093,4,0.783
Giant Panda Guerilla Dub Squad,Trouble Deep,Make It Better,42,2016-09-16,232218,0.348,0.893,0.549,0.0534,6,0.11,-8.013,0,0.0515,126.974,4,0.854
Resonators,Imaginary People,Imaginary People,25,2016-09-30,220366,0.054,0.74,0.48,7.12e-05,10,0.0778,-7.763,0,0.201,79.369,3,0.693
Naptali,Fire Burn,Long Journey,32,2010-03-12,220840,0.261,0.728,0.659,0.0,6,0.0507,-7.884,1,0.384,83.335,4,0.818
Jah9,Steamers a Bubble,Steamers a Bubble,38,2013-08-05,257343,0.0393,0.753,0.459,0.0,5,0.0921,-8.168,0,0.225,140.337,4,0.556
U-Roy,Natty Rebel - Remaster 1990,Natty Rebel (Extra Version),52,1991-01-01,211960,0.0615,0.813,0.395,6.72e-06,0,0.0923,-11.573,1,0.0721,83.117,4,0.783
Lutan Fyah,Weed Oooooh,Weed Oooooh,34,2021-09-03,284375,0.031,0.834,0.58,0.0,4,0.123,-9.08,0,0.32,137.917,4,0.654
Inner Circle,Healing Of The Nation,Everything Is Great,20,2014-01-01,230144,0.0233,0.788,0.675,0.0,6,0.0806,-9.16,0,0.087,140.819,4,0.934
Junior Kelly,Power to the People,Urban Poet,41,2015-10-09,218453,0.052,0.712,0.876,0.0,6,0.325,-4.319,0,0.182,77.997,4,0.925
Mo'kalamity,Frontline,Freedom of the Soul,52,2013-10-14,244000,0.0226,0.811,0.658,0.0,11,0.126,-4.435,0,0.0505,82.485,4,0.707
La Fine Equipe,Sucre d'orge,La boulangerie (Back Burners),45,2018-06-20,124107,0.169,0.861,0.575,0.000142,8,0.391,-6.255,0,0.0476,104.956,4,0.846
NEL,Don't Take Her From Me,Don't Take Her From Me,7,2022-11-11,163878,0.703,0.421,0.238,0.00444,0,0.103,-11.077,0,0.193,80.425,3,0.361
Nude,Lucid Love,Purple,24,2019-10-25,190323,0.0223,0.456,0.699,0.853,6,0.713,-9.168,1,0.0444,105.981,4,0.0522
Allen French,Nova Vida - Osmo Remix,Nova Vida (Osmo Remix),34,2017-08-23,273391,0.00308,0.725,0.828,0.488,7,0.0846,-7.056,1,0.0713,115.0,4,0.349
Snacks,All Night,All Night,10,2020-11-13,191905,0.147,0.908,0.513,0.169,1,0.0688,-10.104,1,0.242,140.893,4,0.896
Harry Nathan,Harriet Tubman?,Sweet Release,38,2020-04-08,199993,0.0124,0.882,0.546,0.731,5,0.0668,-10.402,0,0.128,119.971,4,0.666
Nate Brazier,Patterns,Patterns,42,2022-04-07,159852,0.0108,0.805,0.767,0.00464,1,0.14,-5.746,0,0.0812,135.04,4,0.434
Aaron Childs,Tangerine - Channel Tres Remix,Tangerine (Channel Tres Remix),49,2018-02-23,294445,0.0163,0.868,0.35,0.2,11,0.18,-9.547,1,0.101,114.999,4,0.366
L'Impératrice,Everything Eventually Ends,Everything Eventually Ends,58,2022-10-06,177280,0.361,0.865,0.484,9.53e-06,11,0.116,-9.321,0,0.177,95.016,4,0.849
SiR,Mood (feat. Zacari),Chasing Summer,53,2019-08-30,191360,0.0177,0.599,0.686,0.00105,8,0.0929,-5.951,1,0.0422,148.009,4,0.663
Billie Eilish,Six Feet Under - Jerry Folk Remix,Six Feet Under (The Remixes),53,2017-02-03,200898,0.66,0.447,0.216,0.011,11,0.139,-12.815,0,0.0508,134.868,4,0.0396
Cigarettes After Sex,Apocalypse,Cigarettes After Sex,81,2017-06-09,290146,0.0194,0.369,0.467,0.46,5,0.109,-9.018,1,0.0274,94.473,4,0.174
Mansionair,Empty Promise,"Happiness, Guaranteed",50,2022-04-29,231578,0.819,0.738,0.633,0.000101,0,0.124,-6.864,1,0.0308,114.01,4,0.329
Phantom IMC,True Gyalist,The Beginning,34,2015-12-18,196626,0.174,0.799,0.701,0.0,9,0.31,-4.845,0,0.262,83.068,4,0.686
Mo'kalamity,Darling,Warriors of light,54,2007-02-27,214360,0.0146,0.847,0.528,2.2e-06,11,0.0984,-7.609,0,0.149,76.046,3,0.659
SHY FX,Come Around Slowly,Come Around Slowly,36,2022-02-14,133782,0.00065,0.619,0.657,0.0,11,0.517,-5.379,0,0.0316,74.023,4,0.373
Romain Virgo,No Money,Romain Virgo,46,2010-06-04,210920,0.308,0.753,0.69,0.0,9,0.0865,-2.947,0,0.259,81.99,4,0.916
Niyorah,Positive Herb,A Different Age,42,2005-06-01,260173,0.343,0.867,0.619,0.0,7,0.0777,-6.397,1,0.265,92.024,4,0.759
Israel Vibration,Back Staba,Stamina,54,2007-06-01,231186,0.062,0.755,0.537,0.0,9,0.106,-6.651,1,0.29,73.618,4,0.885
Gregory Isaacs,Don't Play With Fire,Who's Gonna' Take You Home,26,2022-06-10,226960,0.777,0.741,0.245,0.677,10,0.136,-17.641,1,0.0667,166.72,4,0.621
Nattali Rize,Indestructible,Indestructible,34,2020-12-11,183694,0.265,0.845,0.681,0.0,6,0.0519,-4.693,0,0.111,86.001,4,0.654
Fantan Mojah,Good Meditation,Good Meditation,40,2020-11-27,225250,0.173,0.86,0.457,0.0,2,0.122,-5.465,0,0.39,129.443,4,0.635
YT,Nuttin but the Rent,Nuttin but the Rent,15,2020-12-20,224000,0.022,0.797,0.715,0.0,0,0.368,-6.78,1,0.309,80.011,4,0.844
Horseman,The Yout,Dawn of the Dread,25,2014-11-03,208466,0.0532,0.857,0.725,0.0,5,0.0579,-6.865,0,0.271,82.997,4,0.736
grandson,Despicable,a modern tragedy vol. 1,56,2018-06-15,223893,0.0123,0.576,0.782,0.00241,1,0.467,-6.167,1,0.0346,87.971,4,0.367
grandson,Rain (from The Suicide Squad),Rain (from The Suicide Squad),59,2021-06-22,236040,0.0135,0.483,0.643,7.04e-05,10,0.361,-6.872,0,0.0404,125.938,4,0.219
grandson,Darkside,a modern tragedy vol. 2,59,2019-02-22,229531,0.000568,0.497,0.701,0.000287,7,0.352,-6.834,1,0.119,76.918,4,0.18
grandson,Bury Me Face Down,Bury Me Face Down,57,2016-12-16,231666,0.0187,0.39,0.629,4.12e-05,1,0.0658,-4.876,0,0.0469,141.983,4,0.162
The Warning,CHOKE (with grandson & Zero 9:36),CHOKE,55,2022-08-26,160457,0.00498,0.402,0.94,0.0,7,0.725,-3.464,1,0.232,174.997,4,0.388
Cigarettes After Sex,Pistol,Pistol,67,2022-11-15,234174,0.522,0.653,0.442,0.699,7,0.107,-11.727,1,0.0337,109.971,4,0.363
Cat Burns,we're not kids anymore,emotionally unavailable,61,2022-05-20,182958,0.912,0.816,0.213,4.02e-06,6,0.0916,-12.952,0,0.0529,121.916,4,0.323
Weyes Blood,"It's Not Just Me, It's Everybody","And In The Darkness, Hearts Aglow",58,2022-11-18,376520,0.858,0.426,0.342,0.0172,0,0.258,-11.531,1,0.0265,74.853,4,0.155
Billie Eilish,ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",70,2019-03-29,156370,0.724,0.855,0.423,0.469,5,0.0896,-15.044,0,0.0585,120.02,4,0.572
Insincere,Angels Don't Fuck,Angels Don't Fuck,46,2022-02-25,102400,0.612,0.616,0.439,9.95e-06,4,0.389,-15.542,0,0.0649,75.052,4,0.685
tomcbumpz,collide,sidereal crumbs,38,2020-04-09,89100,0.581,0.854,0.166,0.019,1,0.214,-16.914,0,0.124,100.05,4,0.433
WHIPPED CREAM,Child,Child,37,2022-04-29,183000,0.16,0.382,0.587,0.0,0,0.108,-6.36,1,0.0397,79.676,4,0.302
IMANU,Somehow We Lost It All,Unfold,33,2022-09-16,179500,0.331,0.7,0.704,0.000932,1,0.11,-6.529,0,0.0755,120.031,4,0.196
EKKSTACY,i walk this earth all by myself,NEGATIVE,72,2021-11-12,145634,0.507,0.595,0.588,0.781,10,0.113,-11.313,1,0.0624,166.061,4,0.518
Fantan Mojah,Rasta Got Soul,Soul Rasta,50,2016-01-08,265082,0.201,0.872,0.688,0.0,5,0.385,-4.023,0,0.122,96.988,4,0.885
